"sku","brand","product_name","category","occasions","weather","color","image_name"
"NK-TEE-001","Nike","Dri-FIT Daily Tee","tees","casual|gym","summer|all-season","dark","nk-tee-001.svg"
"NK-JKT-002","Nike","Essential Windrunner Jacket","jackets","casual|gym|travel","winter|all-season","dark","nk-jkt-002.svg"
"NK-JNS-003","Nike","Club Stretch Utility Pants","jeans","casual|travel","all-season","neutral","nk-jns-003.svg"
"ZR-TEE-004","Zara","Textured Slim Tee","tees","formal|casual","summer|all-season","bright","zr-tee-004.svg"
"ZR-JKT-005","Zara","Structured Bomber","jackets","casual|travel","winter|all-season","dark","zr-jkt-005.svg"
"ZR-JNS-006","Zara","Tapered Denim","jeans","casual|formal","all-season","neutral","zr-jns-006.svg"
"HM-TEE-007","H&M","Premium Cotton Tee","tees","casual|gym","summer|all-season","neutral","hm-tee-007.svg"
"HM-JKT-008","H&M","Relaxed Utility Jacket","jackets","casual|travel","winter|all-season","dark","hm-jkt-008.svg"
"HM-JNS-009","H&M","Straight Fit Denim","jeans","casual|travel","all-season","neutral","hm-jns-009.svg"
"AD-TEE-010","Adidas","Training Aeroready Tee","tees","gym|casual","summer|all-season","dark","ad-tee-010.svg"
"AD-JKT-011","Adidas","Tiro Track Jacket","jackets","gym|travel","winter|all-season","dark","ad-jkt-011.svg"
"AD-JNS-012","Adidas","City Utility Pants","jeans","casual|travel","all-season","neutral","ad-jns-012.svg"
"UQ-TEE-013","Uniqlo","AIRism Crew Neck Tee","tees","casual|formal","summer|all-season","neutral","uq-tee-013.svg"
"UQ-JKT-014","Uniqlo","BlockTech Parka","jackets","travel|casual","winter|all-season","dark","uq-jkt-014.svg"
"UQ-JNS-015","Uniqlo","Smart Ankle Jeans","jeans","formal|casual","all-season","neutral","uq-jns-015.svg"
"LV-TEE-016","Levi's","Graphic Pocket Tee","tees","casual","summer|all-season","bright","lv-tee-016.svg"
"LV-JKT-017","Levi's","Classic Trucker Jacket","jackets","casual|travel","winter|all-season","bright","lv-jkt-017.svg"
"LV-JNS-018","Levi's","511 Slim Jeans","jeans","casual|formal","all-season","dark","lv-jns-018.svg"
"PM-TEE-019","Puma","Cloudspin Tee","tees","gym|casual","summer|all-season","bright","pm-tee-019.svg"
"PM-JKT-020","Puma","Run Shield Jacket","jackets","gym|travel","winter|all-season","dark","pm-jkt-020.svg"
"PM-JNS-021","Puma","Flex Street Jeans","jeans","casual|travel","all-season","neutral","pm-jns-021.svg"
"GP-TEE-022","Gap","Organic Soft Tee","tees","casual|formal","summer|all-season","neutral","gp-tee-022.svg"
"GP-JKT-023","Gap","Canvas Utility Jacket","jackets","casual|travel","winter|all-season","neutral","gp-jkt-023.svg"
"GP-JNS-024","Gap","Vintage Straight Denim","jeans","casual|formal","all-season","dark","gp-jns-024.svg"
